CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC53417,Photographic Society Of New Zealand Incorporated Group,640 No 2 Line,RD 2,Fordell,Whanganui,4572,New Zealand,-39.9470817,175.1430859
CC53433,The Street City Church Group,21 Hania Street, ,Mount Victoria,Wellington,6011,New Zealand,-41.2985545,174.7833971
CC53474,GC3,Level Two,Capital Fund House,357 Main Street,Palmerston North,4410,New Zealand,-40.3566159,175.6096523
CC53511,HCC Group,120 Picton Street, ,Howick,Auckland,2014,New Zealand,-36.8948153,174.9331775
CC53540,Waikato Anglican College Trust Group,77 Hukanui Road, ,Chartwell,Hamilton,3210,New Zealand,-37.7579841,175.2831082
CC53544,Hohepa Homes Trust Board Group,State Highway 2, ,Clive,Hawkes Bay,4102,New Zealand,-39.3638627,176.9019139
CC53560,Deaf Aotearoa New Zealand Group,Level 9,342 Lambton Quay,Wellington Central,Wellington,6011,New Zealand,-41.2859188,174.7756878
CC53566,The NSAD Group,"Ground Level, 138 The Terrace", ,Wellington Central,Wellington,6011,New Zealand,-41.2840615,174.7741068
CC22670,Braemar Charitable Trust Group,24 Ohaupo Road,24 Ohaupo Road,Hamilton Lake,Hamilton,3204,New Zealand,-37.8073209,175.2796638
CC53759,Te Tawharau o Ngati Pukenga Group,612 Welcome Bay Road,RD 5,Welcome Bay,Tauranga,3175,New Zealand,-37.719732,176.2270155
CC53768,Taranaki Arts Festival Trust Group,Cnr Brougham & Powderham Street,, ,New Plymouth,4310,New Zealand,-39.0589821,174.0733652
CC53787,Advance Ashburton Community Foundation Group,"Level 2, Somerset House",161 Burnett St, ,Ashburton,7700,New Zealand,-43.905386,171.7447855
CC53843,Age Concern Hawkes Bay Regional,98 Taradale Road, ,Onekawa,Napier,4110,New Zealand,-39.5043042,176.8854867
CC53845,Gore & Districts Health Group,9 Birch Lane,, ,Gore,9710,New Zealand,-46.1030087,168.936975
CC53923,The Fono Trust Group,6 Alderman Drive, ,Henderson,Auckland,612,New Zealand,-36.8774452,174.6310378
CC53978,CORE Education Charitable Group,323 Madras Street, ,Christchurch Central,Christchurch,8013,New Zealand,-43.5252612,172.6423469
CC53983,Whanau Support Group,155 Highbury Avenue,Highbury Ave,Highbury,Palmerston North,4412,New Zealand,-40.3622911,175.5901941
CC54094,J R McKenzie Trust Group,Level 7,86 Lambton Quay,Wellington Central,Wellington,6011,New Zealand,-41.2795922,174.7764303
CC54096,Emerge Aotearoa Trust Group,Unit 5,17 Lambie Drive,Papatoetoe,Auckland,2104,New Zealand,-36.9878371,174.8705855
CC54103,Activate Faith Community,21 Ruakura Road, ,Hamilton East,Hamilton,3216,New Zealand,-37.7801062,175.3002751
CC54110,Rotary Club of Auckland Foundation Group,"4th Floor, Smith & Caughey Building",253 Queen Street,Auckland Central,Auckland,1010,New Zealand,-36.8503597,174.7640128
CC54115,The Stroke Foundation of New Zealand,Level 1,97 Molesworth Street,Thorndon,Wellington,6011,New Zealand,-41.274277,174.7777235
CC54118,Church in Auckland Trust Board Group,71 Morningside Drive, ,Mt Albert,Auckland,1025,New Zealand,-36.8816502,174.7319452
CC54219,Pathway Charitable Group,44 Mandeville Street, ,Riccarton,Christchurch,8011,New Zealand,-43.534655,172.607128
CC54221,Q Theatre,305 Queen Street, ,Auckland Central,Auckland,1010,New Zealand,-36.8533676,174.7632856
CC54251,Stepping Stones Recovery Trust Group,158 Avenue Road East, ,Otahuhu,Auckland,1062,New Zealand,-36.9402455,174.8564326
CC54258,Hospice North Shore Trusts,7 Shea Terrace, ,Takapuna,Auckland,622,New Zealand,-36.7835971,174.7568217
CC54269,The New Zealand College of Chiropractic Trusts ,6 Harrison Road, ,Mount Wellington,Auckland,1060,New Zealand,-36.8997356,174.826989
CC54340, Norman Barry,20 Gladstone Road, ,Parnell,Auckland,1052,New Zealand,-36.8557208,174.7868866
CC54403,Pathways College,7 Oak Lane, ,Judea,Tauranga,3110,New Zealand,-37.6967927,176.1493221
CC54464,Consumer NZ Group,Level 5,17 Whitmore Street,Wellington Central,Wellington,6011,New Zealand,-41.2809682,174.7779137
CC54535,Guthrie-Smith Group,111e Avenue Road East,, ,Hastings,4122,New Zealand,-39.641101,176.8457394
